Country Code,TZ Identifier,STD,DST,Time Zone Standard,Time Zone Daylight
AR,America/Argentina/ComodRivadavia,?03:00,?03:00,-3,
AR,America/Argentina/Cordoba,?03:00,?03:00,-3,
AR,America/Argentina/Jujuy,?03:00,?03:00,-3,
AR,America/Argentina/La_Rioja,?03:00,?03:00,-3,
AR,America/Argentina/Mendoza,?03:00,?03:00,-3,
AR,America/Argentina/Rio_Gallegos,?03:00,?03:00,-3,
AR,America/Argentina/Salta,?03:00,?03:00,-3,
AR,America/Argentina/San_Juan,?03:00,?03:00,-3,
AR,America/Argentina/San_Luis,?03:00,?03:00,-3,
AR,America/Argentina/Tucuman,?03:00,?03:00,-3,
AR,America/Argentina/Ushuaia,?03:00,?03:00,-3,
AW,America/Aruba,?04:00,?04:00,AST,
PY,America/Asuncion,?04:00,?03:00,-4,-3
CA,America/Atikokan,?05:00,?05:00,EST,
US,America/Atka,?10:00,?09:00,HST,HDT
BR,America/Bahia,?03:00,?03:00,-3,
MX,America/Bahia_Banderas,?06:00,?06:00,CST,
BB,America/Barbados,?04:00,?04:00,AST,
BR,America/Belem,?03:00,?03:00,-3,
BZ,America/Belize,?06:00,?06:00,CST,
CA,America/Blanc-Sablon,?04:00,?04:00,AST,
BR,America/Boa_Vista,?04:00,?04:00,-4,
CO,America/Bogota,?05:00,?05:00,-5,
US,America/Boise,?07:00,?06:00,MST,MDT
AR,America/Buenos_Aires,?03:00,?03:00,-3,
CA,America/Cambridge_Bay,?07:00,?06:00,MST,MDT
BR,America/Campo_Grande,?04:00,?04:00,-4,
MX,America/Cancun,?05:00,?05:00,EST,
VE,America/Caracas,?04:00,?04:00,-4,
AR,America/Catamarca,?03:00,?03:00,-3,
GF,America/Cayenne,?03:00,?03:00,-3,
KY,America/Cayman,?05:00,?05:00,EST,
US,America/Chicago,?06:00,?05:00,CST,CDT
MX,America/Chihuahua,?06:00,?06:00,CST,
MX,America/Ciudad_Juarez,?07:00,?06:00,MST,MDT
CA,America/Coral_Harbour,?05:00,?05:00,EST,
AR,America/Cordoba,?03:00,?03:00,-3,
CR,America/Costa_Rica,?06:00,?06:00,CST,
CA,America/Creston,?07:00,?07:00,MST,
BR,America/Cuiaba,?04:00,?04:00,-4,
CW,America/Curacao,?04:00,?04:00,AST,
GL,America/Danmarkshavn,+00:00,+00:00,GMT,
CA,America/Dawson,?07:00,?07:00,MST,
CA,America/Dawson_Creek,?07:00,?07:00,MST,
US,America/Denver,?07:00,?06:00,MST,MDT
US,America/Detroit,?05:00,?04:00,EST,EDT
DM,America/Dominica,?04:00,?04:00,AST,
CA,America/Edmonton,?07:00,?06:00,MST,MDT
BR,America/Eirunepe,?05:00,?05:00,-5,
SV,America/El_Salvador,?06:00,?06:00,CST,
MX,America/Ensenada,?08:00,?07:00,PST,PDT
CA,America/Fort_Nelson,?07:00,?07:00,MST,
US,America/Fort_Wayne,?05:00,?04:00,EST,EDT
BR,America/Fortaleza,?03:00,?03:00,-3,
CA,America/Glace_Bay,?04:00,?03:00,AST,ADT
GL,America/Godthab,?02:00,?02:00,-2,-2
CA,America/Goose_Bay,?04:00,?03:00,AST,ADT
TC,America/Grand_Turk,?05:00,?04:00,EST,EDT
GD,America/Grenada,?04:00,?04:00,AST,
GP,America/Guadeloupe,?04:00,?04:00,AST,
GT,America/Guatemala,?06:00,?06:00,CST,
EC,America/Guayaquil,?05:00,?05:00,-5,
GY,America/Guyana,?04:00,?04:00,-4,
CA,America/Halifax,?04:00,?03:00,AST,ADT
CU,America/Havana,?05:00,?04:00,CST,CDT
MX,America/Hermosillo,?07:00,?07:00,MST,
US,America/Indiana/Indianapolis,?05:00,?04:00,EST,EDT
US,America/Indiana/Knox,?06:00,?05:00,CST,CDT
US,America/Indiana/Marengo,?05:00,?04:00,EST,EDT
US,America/Indiana/Petersburg,?05:00,?04:00,EST,EDT
US,America/Indiana/Tell_City,?06:00,?05:00,CST,CDT
US,America/Indiana/Vevay,?05:00,?04:00,EST,EDT
US,America/Indiana/Vincennes,?05:00,?04:00,EST,EDT
US,America/Indiana/Winamac,?05:00,?04:00,EST,EDT
US,America/Indianapolis,?05:00,?04:00,EST,EDT
CA,America/Inuvik,?07:00,?06:00,MST,MDT
CA,America/Iqaluit,?05:00,?04:00,EST,EDT
JM,America/Jamaica,?05:00,?05:00,EST,
AR,America/Jujuy,?03:00,?03:00,-3,
US,America/Juneau,?09:00,?08:00,AKST,AKDT
US,America/Kentucky/Louisville,?05:00,?04:00,EST,EDT
US,America/Kentucky/Monticello,?05:00,?04:00,EST,EDT
US,America/Knox_IN,?06:00,?05:00,CST,CDT
BQ,America/Kralendijk,?04:00,?04:00,AST,
BO,America/La_Paz,?04:00,?04:00,-4,
PE,America/Lima,?05:00,?05:00,-5,
US,America/Los_Angeles,?08:00,?07:00,PST,PDT
US,America/Louisville,?05:00,?04:00,EST,EDT
SX,America/Lower_Princes,?04:00,?04:00,AST,
BR,America/Maceio,?03:00,?03:00,-3,
NI,America/Managua,?06:00,?06:00,CST,
BR,America/Manaus,?04:00,?04:00,-4,
MF,America/Marigot,?04:00,?04:00,AST,
MQ,America/Martinique,?04:00,?04:00,AST,
MX,America/Matamoros,?06:00,?05:00,CST,CDT
MX,America/Mazatlan,?07:00,?07:00,MST,
AR,America/Mendoza,?03:00,?03:00,-3,
US,America/Menominee,?06:00,?05:00,CST,CDT
