Country Code,TZ Identifier,STD,DST,Time Zone Standard,Time Zone Daylight
PL,Europe/Warsaw,+01:00,+02:00,CET,CEST
HR,Europe/Zagreb,+01:00,+02:00,CET,CEST
UA,Europe/Zaporozhye,+02:00,+03:00,EET,EEST
"CH,?DE,?LI",Europe/Zurich,+01:00,+02:00,CET,CEST
,Factory,+00:00,+00:00,0,
GB,GB,+00:00,+01:00,GMT,BST
GB,GB-Eire,+00:00,+01:00,GMT,BST
,GMT,+00:00,+00:00,GMT,
,GMT+0,+00:00,+00:00,GMT,
,GMT-0,+00:00,+00:00,GMT,
,GMT0,+00:00,+00:00,GMT,
,Greenwich,+00:00,+00:00,GMT,
HK,Hongkong,+08:00,+08:00,HKT,
,HST,?10:00,?10:00,HST,
IS,Iceland,+00:00,+00:00,GMT,
MG,Indian/Antananarivo,+03:00,+03:00,EAT,
IO,Indian/Chagos,+06:00,+06:00,6,
CX,Indian/Christmas,+07:00,+07:00,7,
CC,Indian/Cocos,+06:30,+06:30,630,
KM,Indian/Comoro,+03:00,+03:00,EAT,
TF,Indian/Kerguelen,+05:00,+05:00,5,
SC,Indian/Mahe,+04:00,+04:00,4,
"MV,?TF",Indian/Maldives,+05:00,+05:00,5,
MU,Indian/Mauritius,+04:00,+04:00,4,
YT,Indian/Mayotte,+03:00,+03:00,EAT,
RE,Indian/Reunion,+04:00,+04:00,4,
IR,Iran,+03:30,+03:30,330,
IL,Israel,+02:00,+03:00,IST,IDT
JM,Jamaica,?05:00,?05:00,EST,
JP,Japan,+09:00,+09:00,JST,
MH,Kwajalein,+12:00,+12:00,12,
LY,Libya,+02:00,+02:00,EET,
,MET,+01:00,+02:00,MET,MEST
MX,Mexico/BajaNorte,?08:00,?07:00,PST,PDT
MX,Mexico/BajaSur,?07:00,?07:00,MST,
MX,Mexico/General,?06:00,?06:00,CST,
,MST,?07:00,?07:00,MST,
,MST7MDT,?07:00,?06:00,MST,MDT
US,Navajo,?07:00,?06:00,MST,MDT
NZ,NZ,+12:00,+13:00,NZST,NZDT
NZ,NZ-CHAT,+12:45,+13:45,1245,1345
WS,Pacific/Apia,+13:00,+13:00,13,
"NZ,?AQ",Pacific/Auckland,+12:00,+13:00,NZST,NZDT
PG,Pacific/Bougainville,+11:00,+11:00,11,
NZ,Pacific/Chatham,+12:45,+13:45,1245,1345
FM,Pacific/Chuuk,+10:00,+10:00,10,
CL,Pacific/Easter,?06:00,?05:00,-6,-5
VU,Pacific/Efate,+11:00,+11:00,11,
KI,Pacific/Enderbury,+13:00,+13:00,13,
TK,Pacific/Fakaofo,+13:00,+13:00,13,
FJ,Pacific/Fiji,+12:00,+12:00,12,
TV,Pacific/Funafuti,+12:00,+12:00,12,
EC,Pacific/Galapagos,?06:00,?06:00,-6,
PF,Pacific/Gambier,?09:00,?09:00,-9,
"SB,?FM",Pacific/Guadalcanal,+11:00,+11:00,11,
"GU,?MP",Pacific/Guam,+10:00,+10:00,ChST,
US,Pacific/Honolulu,?10:00,?10:00,HST,
US,Pacific/Johnston,?10:00,?10:00,HST,
KI,Pacific/Kanton,+13:00,+13:00,13,
KI,Pacific/Kiritimati,+14:00,+14:00,14,
FM,Pacific/Kosrae,+11:00,+11:00,11,
MH,Pacific/Kwajalein,+12:00,+12:00,12,
MH,Pacific/Majuro,+12:00,+12:00,12,
PF,Pacific/Marquesas,?09:30,?09:30,-930,
UM,Pacific/Midway,?11:00,?11:00,SST,
NR,Pacific/Nauru,+12:00,+12:00,12,
NU,Pacific/Niue,?11:00,?11:00,-11,
NF,Pacific/Norfolk,+11:00,+12:00,11,12
NC,Pacific/Noumea,+11:00,+11:00,11,
"AS,?UM",Pacific/Pago_Pago,?11:00,?11:00,SST,
PW,Pacific/Palau,+09:00,+09:00,9,
PN,Pacific/Pitcairn,?08:00,?08:00,-8,
FM,Pacific/Pohnpei,+11:00,+11:00,11,
FM,Pacific/Ponape,+11:00,+11:00,11,
"PG,?AQ,?FM",Pacific/Port_Moresby,+10:00,+10:00,10,
CK,Pacific/Rarotonga,?10:00,?10:00,-10,
MP,Pacific/Saipan,+10:00,+10:00,ChST,
AS,Pacific/Samoa,?11:00,?11:00,SST,
PF,Pacific/Tahiti,?10:00,?10:00,-10,
"KI,?MH,?TV,?UM,?WF",Pacific/Tarawa,+12:00,+12:00,12,
TO,Pacific/Tongatapu,+13:00,+13:00,13,
FM,Pacific/Truk,+10:00,+10:00,10,
UM,Pacific/Wake,+12:00,+12:00,12,
WF,Pacific/Wallis,+12:00,+12:00,12,
FM,Pacific/Yap,+10:00,+10:00,10,
PL,Poland,+01:00,+02:00,CET,CEST
PT,Portugal,+00:00,+01:00,WET,WEST
CN,PRC,+08:00,+08:00,CST,
,PST8PDT,?08:00,?07:00,PST,PDT
TW,ROC,+08:00,+08:00,CST,
KR,ROK,+09:00,+09:00,KST,
SG,Singapore,+08:00,+08:00,8,
TR,Turkey,+03:00,+03:00,3,
,UCT,+00:00,+00:00,UTC,
,Universal,+00:00,+00:00,UTC,
US,US/Alaska,?09:00,?08:00,AKST,AKDT
US,US/Aleutian,?10:00,?09:00,HST,HDT
US,US/Arizona,?07:00,?07:00,MST,
US,US/Central,?06:00,?05:00,CST,CDT
US,US/East-Indiana,?05:00,?04:00,EST,EDT
US,US/Eastern,?05:00,?04:00,EST,EDT
US,US/Hawaii,?10:00,?10:00,HST,
US,US/Indiana-Starke,?06:00,?05:00,CST,CDT
US,US/Michigan,?05:00,?04:00,EST,EDT
US,US/Mountain,?07:00,?06:00,MST,MDT
US,US/Pacific,?08:00,?07:00,PST,PDT
AS,US/Samoa,?11:00,?11:00,SST,
,UTC,+00:00,+00:00,UTC,
RU,W-SU,+03:00,+03:00,MSK,
,WET,+00:00,+01:00,WET,WEST
,Zulu,+00:00,+00:00,UTC,
