Abbreviation,Time zone name,Location,Display Name,Offset,UTC Time,DST
R,Romeo Time Zone,Military,R (Romeo Time Zone) - Military,UTC -5,-5:00,FALSE
RET,Reunion Time,Africa,RET (Reunion Time) - Africa,UTC +4,4:00,FALSE
ROTT,Rothera Time,Antarctica,ROTT (Rothera Time) - Antarctica,UTC -3,-3:00,FALSE
S,Sierra Time Zone,Military,S (Sierra Time Zone) - Military,UTC -6,-6:00,FALSE
SAKT,Sakhalin Time,Asia,SAKT (Sakhalin Time) - Asia,UTC +11,11:00,FALSE
SAMT,Samara Time,Europe,SAMT (Samara Time) - Europe,UTC +4,4:00,FALSE
SAST,South Africa Standard Time,Africa,SAST (South Africa Standard Time) - Africa,UTC +2,2:00,FALSE
SBT,Solomon Islands Time,Pacific,SBT (Solomon Islands Time) - Pacific,UTC +11,11:00,FALSE
SCT,Seychelles Time,Africa,SCT (Seychelles Time) - Africa,UTC +4,4:00,FALSE
SGT,Singapore Time,Asia,SGT (Singapore Time) - Asia,UTC +8,8:00,FALSE
SRET,Srednekolymsk Time,Asia,SRET (Srednekolymsk Time) - Asia,UTC +11,11:00,FALSE
SRT,Suriname Time,South America,SRT (Suriname Time) - South America,UTC -3,-3:00,FALSE
SST,Samoa Standard Time,Pacific,SST (Samoa Standard Time) - Pacific,UTC -11,-11:00,FALSE
SYOT,Syowa Time,Antarctica,SYOT (Syowa Time) - Antarctica,UTC +3,3:00,FALSE
T,Tango Time Zone,Military,T (Tango Time Zone) - Military,UTC -7,-7:00,FALSE
TAHT,Tahiti Time,Pacific,TAHT (Tahiti Time) - Pacific,UTC -10,-10:00,FALSE
TFT,French Southern and Antarctic Time,Indian Ocean,TFT (French Southern and Antarctic Time) - Indian Ocean,UTC +5,5:00,FALSE
TJT,Tajikistan Time,Asia,TJT (Tajikistan Time) - Asia,UTC +5,5:00,FALSE
TKT,Tokelau Time,Pacific,TKT (Tokelau Time) - Pacific,UTC +13,13:00,FALSE
TLT,East Timor Time,Asia,TLT (East Timor Time) - Asia,UTC +9,9:00,FALSE
TMT,Turkmenistan Time,Asia,TMT (Turkmenistan Time) - Asia,UTC +5,5:00,FALSE
TOST,Tonga Summer Time,Pacific,TOST (Tonga Summer Time) - Pacific,UTC +14,14:00,TRUE
TOT,Tonga Time,Pacific,TOT (Tonga Time) - Pacific,UTC +13,13:00,FALSE
TRT,Turkey Time,Asia,TRT (Turkey Time) - Asia,UTC +3,3:00,FALSE
TVT,Tuvalu Time,Pacific,TVT (Tuvalu Time) - Pacific,UTC +12,12:00,FALSE
U,Uniform Time Zone,Military,U (Uniform Time Zone) - Military,UTC -8,-8:00,FALSE
ULAST,Ulaanbaatar Summer Time,Asia,ULAST (Ulaanbaatar Summer Time) - Asia,UTC +9,9:00,TRUE
ULAT,Ulaanbaatar Time,Asia,ULAT (Ulaanbaatar Time) - Asia,UTC +8,8:00,FALSE
UTC,Coordinated Universal Time,Worldwide,UTC (Coordinated Universal Time) - Worldwide,UTC,0:00,FALSE
UYST,Uruguay Summer Time,South America,UYST (Uruguay Summer Time) - South America,UTC -2,-2:00,TRUE
UYT,Uruguay Time,South America,UYT (Uruguay Time) - South America,UTC -3,-3:00,FALSE
UZT,Uzbekistan Time,Asia,UZT (Uzbekistan Time) - Asia,UTC +5,5:00,FALSE
V,Victor Time Zone,Military,V (Victor Time Zone) - Military,UTC -9,-9:00,FALSE
VET,Venezuelan Standard Time,South America,VET (Venezuelan Standard Time) - South America,UTC -4,-4:00,FALSE
VLAST,Vladivostok Summer Time,Asia,VLAST (Vladivostok Summer Time) - Asia,UTC +11,11:00,TRUE
VLAT,Vladivostok Time,Asia,VLAT (Vladivostok Time) - Asia,UTC +10,10:00,FALSE
VOST,Vostok Time,Antarctica,VOST (Vostok Time) - Antarctica,UTC +6,6:00,FALSE
VUT,Vanuatu Time,Pacific,VUT (Vanuatu Time) - Pacific,UTC +11,11:00,FALSE
W,Whiskey Time Zone,Military,W (Whiskey Time Zone) - Military,UTC -10,-10:00,FALSE
WAKT,Wake Time,Pacific,WAKT (Wake Time) - Pacific,UTC +12,12:00,FALSE
WARST,Western Argentine Summer Time,South America,WARST (Western Argentine Summer Time) - South America,UTC -3,-3:00,TRUE
WAST,West Africa Summer Time,Africa,WAST (West Africa Summer Time) - Africa,UTC +2,2:00,TRUE
WAT,West Africa Time,Africa,WAT (West Africa Time) - Africa,UTC +1,1:00,FALSE
WEST,Western European Summer Time,Europe,WEST (Western European Summer Time) - Europe,UTC +1,1:00,TRUE
WET,Western European Time,Europe,WET (Western European Time) - Europe,UTC +0,0:00,FALSE
WFT,Wallis and Futuna Time,Pacific,WFT (Wallis and Futuna Time) - Pacific,UTC +12,12:00,FALSE
WGST,Western Greenland Summer Time,North America,WGST (Western Greenland Summer Time) - North America,UTC -2,-2:00,TRUE
WGT,West Greenland Time,North America,WGT (West Greenland Time) - North America,UTC -3,-3:00,FALSE
WIB,Western Indonesian Time,Asia,WIB (Western Indonesian Time) - Asia,UTC +7,7:00,FALSE
WIT,Eastern Indonesian Time,Asia,WIT (Eastern Indonesian Time) - Asia,UTC +9,9:00,FALSE
WITA,Central Indonesian Time,Asia,WITA (Central Indonesian Time) - Asia,UTC +8,8:00,FALSE
WST,Western Sahara Summer Time,Africa,WST (Western Sahara Summer Time) - Africa,UTC +1,1:00,TRUE
WST,West Samoa Time,Pacific,WST (West Samoa Time) - Pacific,UTC +13,13:00,FALSE
WT,Western Sahara Standard Time,Africa,WT (Western Sahara Standard Time) - Africa,UTC +0,0:00,FALSE
X,X-ray Time Zone,Military,X (X-ray Time Zone) - Military,UTC -11,-11:00,FALSE
Y,Yankee Time Zone,Military,Y (Yankee Time Zone) - Military,UTC -12,-12:00,FALSE
YAKST,Yakutsk Summer Time,Asia,YAKST (Yakutsk Summer Time) - Asia,UTC +10,10:00,TRUE
YAKT,Yakutsk Time,Asia,YAKT (Yakutsk Time) - Asia,UTC +9,9:00,FALSE
YAPT,Yap Time,Pacific,YAPT (Yap Time) - Pacific,UTC +10,10:00,FALSE
YEKST,Yekaterinburg Summer Time,Asia,YEKST (Yekaterinburg Summer Time) - Asia,UTC +6,6:00,TRUE
YEKT,Yekaterinburg Time,Asia,YEKT (Yekaterinburg Time) - Asia,UTC +5,5:00,FALSE
Z,Zulu Time Zone,Military,Z (Zulu Time Zone) - Military,UTC +0,0:00,FALSE
